Grado en Biología,Facultad de Biología,Principios Químicos de la Biología,1530010
Grado en Biología,Facultad de Biología,Bioquímica I,1530012
Grado en Biología,Facultad de Biología,Bioquímica II,1530013
Grado en Biología,Facultad de Biología,Inmunología,1530021
Grado en Biología,Facultad de Biología,Redacción y Ejecución de Proyectos,1530023
Grado en Biología,Facultad de Biología,Biodiversidad y Conservación de Especies Animales,1530024
Grado en Biología,Facultad de Biología,Biología Celular,1530025
Grado en Biología,Facultad de Biología,Biología Celular del Desarrollo,1530026
Grado en Biología,Facultad de Biología,Biología Molecular y Biotecnología Vegetal,1530027
Grado en Biología,Facultad de Biología,Ecología del Cambio Global: Transición Actual de la Biosfera,1530028
Grado en Biología,Facultad de Biología,Estructura y Biosíntesis de Macromoléculas,1530029
Grado en Biología,Facultad de Biología,Etología,1530030
Grado en Biología,Facultad de Biología,Fisiología Vegetal Ambiental,1530031
Grado en Biología,Facultad de Biología,Flora y Vegetación Mediterráneas,1530032
Grado en Biología,Facultad de Biología,Funcionamiento y Gestión de Ecosistemas Acuáticos,1530033
Grado en Biología,Facultad de Biología,Genética Humana,1530034
Grado en Biología,Facultad de Biología,Genética Molecular,1530035
Grado en Biología,Facultad de Biología,Metabolismo Secundario Vegetal y Defensa frente a Patógenos y Herbívoros,1530036
Grado en Biología,Facultad de Biología,Microbiología Aplicada y Biotecnología,1530037
Grado en Biología,Facultad de Biología,Microbiología Celular,1530038
Grado en Biología,Facultad de Biología,Neurofisiología,1530039
Grado en Biología,Facultad de Biología,Zoología Aplicada,1530041
Grado en Biología,Facultad de Biología,Ecología I,1530042
Grado en Biología,Facultad de Biología,Ecología II,1530043
Grado en Biología,Facultad de Biología,Genética II,1530044
Grado en Biología,Facultad de Biología,Biología Celular e Histología I,1530045
Grado en Biología,Facultad de Biología,Biología Celular e Histología II,1530046
Grado en Biología,Facultad de Biología,Microbiología I,1530047
Grado en Biología,Facultad de Biología,Microbiología II,1530048
Grado en Biología,Facultad de Biología,Botánica I,1530049
Grado en Biología,Facultad de Biología,Botánica II,1530050
Grado en Biología,Facultad de Biología,Genética I,1530051
Grado en Biología,Facultad de Biología,Zoología I,1530052
Grado en Biología,Facultad de Biología,Zoología II,1530053
Grado en Biología,Facultad de Biología,Fisiología Animal I,1530054
Grado en Biología,Facultad de Biología,Fisiología Animal II,1530055
Grado en Biología,Facultad de Biología,Fisiología Vegetal I,1530056
Grado en Biología,Facultad de Biología,Fisiología Vegetal II,1530057
Grado en Biología,Facultad de Biología,Reproducción Vegetal e Interacciones Planta-Animal,1530058
Grado en Biología,Facultad de Biología,Créditos Optativos cursados en Movlidad VIII,1530907
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,"Actividad Física, Deporte y Recreación",1540021
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Análisis y Evaluación de la Condición Física Saludable,1540022
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Baloncesto II: Fundamentos Avanzados y su Enseñanza,1540023
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Diseño y Programación del Ejercicio Físico para la Mejora de la Calidad de Vida,1540024
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Enseñanza de la Educación Física I,1540025
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Entrenamiento Deportivo I,1540026
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,"Evaluación de Programas, Centros y Servicios Deportivos",1540027
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Expresión Corporal II,1540028
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Fundamentos de los Deportes de Combate y su Enseñanza,1540029
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Fundamentos de los Deportes de Raqueta y su Enseñanza,1540030
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,"Fundamentos del Rugby, Hockey y su Enseñanza",1540031
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Juegos y Deporte en Edad Escolar,1540032
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Organización y Gestión de Empresas Deportivas,1540033
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Voleibol II: Fundamentos Avanzados y su Enseñanza,1540034
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Atletismo II: Fundamentos Avanzados y su Entrenamiento,1540035
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Balonmano II: Fundamentos Avanzados y su Enseñanza,1540036
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Deporte Adaptado y para la Diversidad,1540037
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Deportes del Entorno: Remo y Piragüismo,1540038
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Enseñanza de la Educación Física II,1540040
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Entrenamiento Deportivo II,1540041
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Fisioterapia de la Actividad Física y del Deporte,1540042
Grado en Ciencias de la Actividad Física y del Deporte,Facultad de Ciencias de la Educación,Fútbol II: Fundamentos Avanzados y su Enseñanza,1540043
